IPK,Semester,Jurusan,Pernah_Mengulang,Pendapatan_Orang_Tua,Pekerjaan_Orang_Tua,Jumlah_Tanggungan,Status_Tempat_Tinggal,Asal_Daerah,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Pengalaman_Magang,Skor_Motivasi_Tertulis,Surat_Rekomendasi,Pernah_Mendapat_Beasiswa,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Pernah_Melawan_Hukum,Jenis_Kelamin,Skor_Literasi_Finansial,Status_Kelayakan,Jumlah_Beasiswa_Per_Semester
3.4,2,teknik informatika,tidak,4608603,pedagang,2,menumpang,3t,tidak,4,ya,77,ada,ya,55,6,tidak,laki-laki,71,layak,3667971
3.14,7,kedokteran,tidak,5167265,tidak bekerja,1,milik sendiri,perkotaan,ya,1,ya,98,tidak,ya,55,12,tidak,perempuan,77,tidak layak,0
3.83,5,teknik informatika,tidak,9496414,petani,4,milik sendiri,pedesaan,tidak,4,tidak,73,ada,ya,52,7,tidak,laki-laki,29,tidak layak,0
3.51,2,ekonomi,tidak,6620868,pedagang,3,kontrak,pedesaan,ya,5,tidak,88,ada,ya,60,14,tidak,laki-laki,87,layak,4720280
3.01,1,kedokteran,tidak,5792423,karyawan swasta,3,milik sendiri,pedesaan,tidak,5,ya,91,tidak,tidak,91,14,tidak,laki-laki,31,tidak layak,0
3.01,5,ekonomi,tidak,7200828,pegawai negeri,2,milik sendiri,pedesaan,ya,0,tidak,59,ada,tidak,88,2,tidak,perempuan,67,tidak layak,0
3.53,5,teknik informatika,tidak,2421859,wirausaha,5,kontrak,perkotaan,ya,2,tidak,79,ada,tidak,82,5,tidak,laki-laki,80,layak,4503536
2.59,4,hukum,tidak,3210343,buruh,5,milik sendiri,pedesaan,ya,0,tidak,69,ada,ya,65,18,tidak,laki-laki,93,tidak layak,0
2.92,8,manajemen,tidak,9437326,tidak bekerja,2,milik sendiri,perkotaan,tidak,1,ya,88,tidak,ya,84,6,tidak,perempuan,85,tidak layak,0
2.34,6,pertanian,tidak,8074680,petani,2,milik sendiri,3t,ya,4,ya,64,ada,ya,95,20,tidak,laki-laki,4,tidak layak,0
3.25,6,manajemen,tidak,5172073,wirausaha,4,milik sendiri,pedesaan,tidak,4,tidak,65,tidak,tidak,62,3,tidak,perempuan,45,tidak layak,0
2.99,7,ekonomi,tidak,1408841,wirausaha,6,menumpang,3t,ya,2,tidak,56,ada,ya,62,17,tidak,perempuan,23,tidak layak,0
2.96,5,pertanian,tidak,1764748,karyawan swasta,5,milik sendiri,3t,tidak,0,tidak,98,ada,ya,76,15,tidak,perempuan,7,tidak layak,0
3.58,3,ekonomi,ya,7050190,pegawai negeri,4,kontrak,pedesaan,tidak,4,tidak,81,ada,ya,68,6,tidak,laki-laki,95,layak,4630707
3.19,1,teknik informatika,tidak,8936429,tidak bekerja,5,milik sendiri,3t,ya,1,ya,54,ada,tidak,57,18,tidak,laki-laki,79,tidak layak,0
2.78,2,ekonomi,tidak,9982934,buruh,3,kontrak,pedesaan,tidak,1,ya,58,tidak,tidak,70,2,ya,laki-laki,9,tidak layak,0
2.69,4,sastra,ya,6355396,petani,2,kontrak,pedesaan,ya,4,tidak,89,ada,tidak,92,3,tidak,laki-laki,33,tidak layak,0
3.64,2,manajemen,tidak,3107983,pegawai negeri,3,menumpang,pedesaan,ya,5,tidak,66,tidak,tidak,53,2,tidak,perempuan,5,tidak layak,0
3.5,1,pendidikan,tidak,4894880,pedagang,6,kontrak,pedesaan,ya,0,ya,94,ada,ya,73,18,tidak,perempuan,16,layak,2350885
3.27,5,pendidikan,tidak,1169324,pegawai negeri,2,menumpang,pedesaan,ya,4,tidak,76,ada,ya,60,5,tidak,laki-laki,22,layak,4786573
3.15,7,kedokteran,tidak,2313543,karyawan swasta,1,kontrak,pedesaan,tidak,3,ya,100,ada,ya,51,6,tidak,perempuan,8,layak,4341470
3.08,6,ekonomi,tidak,9496207,pegawai negeri,1,milik sendiri,perkotaan,ya,4,tidak,66,ada,ya,88,13,tidak,perempuan,55,tidak layak,0
3.34,2,ekonomi,tidak,3688992,pegawai negeri,1,menumpang,pedesaan,ya,4,tidak,97,ada,tidak,77,2,tidak,perempuan,79,layak,4633315
2.49,2,sastra,tidak,7351696,pegawai negeri,4,menumpang,pedesaan,ya,3,tidak,74,ada,tidak,75,17,tidak,perempuan,36,tidak layak,0
3.43,4,ekonomi,tidak,5906444,karyawan swasta,4,kontrak,perkotaan,ya,5,ya,55,tidak,tidak,55,7,tidak,laki-laki,25,tidak layak,0
3.56,3,teknik informatika,ya,8471465,buruh,1,kontrak,pedesaan,tidak,1,tidak,74,tidak,tidak,65,4,tidak,laki-laki,96,tidak layak,0
2.6,2,ekonomi,tidak,9189889,karyawan swasta,1,menumpang,pedesaan,tidak,3,ya,79,tidak,tidak,89,16,tidak,perempuan,20,tidak layak,0
3.64,8,pertanian,tidak,4647994,tidak bekerja,6,kontrak,perkotaan,ya,5,ya,78,ada,tidak,65,8,tidak,laki-laki,17,layak,3265259
3.67,4,ekonomi,tidak,4089533,petani,4,kontrak,pedesaan,ya,0,ya,76,tidak,ya,98,18,tidak,laki-laki,45,layak,4504944
2.84,7,ekonomi,tidak,9662579,tidak bekerja,5,milik sendiri,pedesaan,ya,3,ya,71,tidak,ya,79,4,tidak,laki-laki,50,tidak layak,0
3.59,1,manajemen,tidak,2776659,tidak bekerja,4,milik sendiri,3t,ya,1,tidak,71,tidak,tidak,98,13,tidak,laki-laki,60,layak,2162598
3.23,5,pendidikan,ya,2421542,tidak bekerja,2,kontrak,3t,ya,2,tidak,74,tidak,ya,54,18,tidak,laki-laki,13,tidak layak,0
3.08,5,manajemen,tidak,9994772,tidak bekerja,1,kontrak,pedesaan,tidak,0,tidak,71,ada,tidak,81,3,tidak,perempuan,81,tidak layak,0
3.79,8,hukum,tidak,9253457,wirausaha,3,menumpang,perkotaan,ya,3,tidak,96,tidak,tidak,65,2,tidak,perempuan,31,tidak layak,0
2.99,8,ekonomi,tidak,8793086,tidak bekerja,3,milik sendiri,pedesaan,ya,2,ya,88,tidak,ya,83,6,tidak,perempuan,62,tidak layak,0
2.88,4,pertanian,tidak,8734615,karyawan swasta,1,milik sendiri,pedesaan,ya,1,ya,87,tidak,tidak,85,16,tidak,perempuan,45,tidak layak,0
3.0,8,sastra,tidak,4367786,petani,6,milik sendiri,pedesaan,tidak,5,ya,63,tidak,tidak,96,18,tidak,perempuan,12,tidak layak,0
3.24,4,sastra,tidak,3510529,pegawai negeri,1,menumpang,pedesaan,ya,0,tidak,94,ada,tidak,56,0,tidak,perempuan,61,layak,5694920
3.59,6,hukum,tidak,4735884,tidak bekerja,4,milik sendiri,perkotaan,ya,0,tidak,93,ada,ya,59,18,tidak,laki-laki,31,layak,2993643
3.04,7,kedokteran,tidak,6881684,karyawan swasta,4,kontrak,perkotaan,tidak,2,tidak,53,ada,ya,90,6,tidak,laki-laki,20,tidak layak,0
2.61,4,hukum,tidak,3126181,petani,4,kontrak,perkotaan,ya,0,ya,95,tidak,tidak,54,7,tidak,laki-laki,54,tidak layak,0
3.04,2,kedokteran,tidak,4956573,tidak bekerja,2,milik sendiri,3t,tidak,4,tidak,86,tidak,tidak,57,14,tidak,perempuan,34,tidak layak,0
3.95,8,sastra,ya,7812936,wirausaha,4,milik sendiri,pedesaan,ya,2,tidak,60,tidak,tidak,94,15,tidak,perempuan,97,tidak layak,0
3.27,1,pertanian,ya,4734550,pegawai negeri,1,kontrak,perkotaan,tidak,0,tidak,84,tidak,tidak,53,6,tidak,perempuan,80,tidak layak,0
2.43,8,teknik informatika,tidak,9714376,pedagang,3,kontrak,perkotaan,ya,0,tidak,88,ada,ya,69,17,ya,perempuan,11,tidak layak,0
3.22,3,manajemen,tidak,7461578,pegawai negeri,5,kontrak,perkotaan,ya,2,tidak,87,tidak,ya,78,17,tidak,perempuan,70,tidak layak,0
4.0,7,pertanian,tidak,3665061,wirausaha,2,menumpang,pedesaan,tidak,3,ya,97,tidak,tidak,74,20,tidak,perempuan,4,tidak layak,0
3.12,3,pendidikan,tidak,7887112,petani,5,kontrak,3t,ya,5,tidak,54,tidak,tidak,71,19,tidak,laki-laki,42,tidak layak,0
3.32,7,pendidikan,tidak,8686400,tidak bekerja,5,milik sendiri,perkotaan,ya,5,tidak,64,ada,tidak,56,20,tidak,laki-laki,56,tidak layak,0
3.5,4,pertanian,tidak,2901116,pedagang,4,menumpang,pedesaan,ya,0,tidak,79,tidak,ya,54,14,tidak,perempuan,81,layak,5559361
3.76,5,kedokteran,tidak,6410964,pedagang,6,milik sendiri,perkotaan,tidak,5,tidak,93,ada,ya,90,20,ya,perempuan,4,tidak layak,0
3.88,6,hukum,ya,5451131,pegawai negeri,6,kontrak,3t,ya,4,tidak,73,tidak,ya,66,15,tidak,perempuan,95,layak,4841349
2.78,5,ekonomi,tidak,6732293,petani,6,milik sendiri,pedesaan,tidak,4,ya,89,ada,ya,90,14,tidak,perempuan,83,tidak layak,0
3.39,7,manajemen,ya,1124315,pegawai negeri,4,milik sendiri,3t,tidak,1,ya,73,tidak,ya,76,20,tidak,perempuan,78,tidak layak,0
2.89,7,sastra,ya,6716461,pedagang,4,kontrak,perkotaan,tidak,0,tidak,73,tidak,ya,75,8,tidak,laki-laki,58,tidak layak,0
3.07,2,kedokteran,tidak,858318,petani,3,milik sendiri,perkotaan,tidak,1,ya,98,ada,ya,64,10,tidak,laki-laki,35,layak,3213730
2.56,3,sastra,tidak,2344258,wirausaha,1,milik sendiri,3t,tidak,1,tidak,51,ada,tidak,53,4,tidak,laki-laki,95,tidak layak,0
3.27,2,pertanian,tidak,6574006,buruh,5,milik sendiri,pedesaan,ya,4,ya,100,tidak,tidak,91,0,tidak,perempuan,51,tidak layak,0
2.85,2,kedokteran,tidak,4333486,karyawan swasta,3,kontrak,pedesaan,tidak,2,tidak,92,tidak,tidak,59,15,tidak,laki-laki,11,tidak layak,0
3.29,7,manajemen,tidak,6751976,tidak bekerja,2,menumpang,3t,tidak,4,ya,57,tidak,tidak,92,13,tidak,laki-laki,36,tidak layak,0
3.54,5,pendidikan,ya,9012969,pedagang,2,menumpang,pedesaan,tidak,2,tidak,73,ada,tidak,86,7,tidak,laki-laki,77,tidak layak,0
3.27,5,teknik informatika,ya,5683902,pegawai negeri,3,milik sendiri,3t,ya,5,tidak,59,ada,ya,97,16,tidak,perempuan,58,layak,4859642
2.71,3,pendidikan,tidak,5942241,tidak bekerja,5,menumpang,3t,ya,1,tidak,53,ada,tidak,78,13,tidak,perempuan,53,tidak layak,0
3.66,5,kedokteran,tidak,2409540,pegawai negeri,4,milik sendiri,pedesaan,tidak,3,tidak,69,ada,ya,75,19,tidak,laki-laki,38,layak,3771959
2.87,3,sastra,tidak,2513003,petani,4,menumpang,pedesaan,ya,4,tidak,82,tidak,ya,75,1,tidak,perempuan,9,tidak layak,0
2.65,6,ekonomi,tidak,7507741,pegawai negeri,1,kontrak,3t,ya,4,tidak,94,tidak,ya,77,3,tidak,perempuan,67,tidak layak,0
2.89,2,ekonomi,tidak,6196087,pedagang,3,milik sendiri,3t,tidak,4,tidak,99,tidak,tidak,96,20,tidak,laki-laki,13,tidak layak,0
3.68,3,sastra,ya,3064729,tidak bekerja,6,milik sendiri,3t,tidak,3,tidak,86,tidak,tidak,90,10,tidak,laki-laki,60,tidak layak,0
2.81,1,pertanian,tidak,3658134,pegawai negeri,5,kontrak,pedesaan,tidak,3,ya,71,ada,ya,52,7,tidak,perempuan,67,tidak layak,0
3.59,3,pendidikan,tidak,5246166,karyawan swasta,4,kontrak,perkotaan,ya,5,tidak,54,tidak,ya,85,12,tidak,laki-laki,42,tidak layak,0
3.11,2,hukum,tidak,5704824,wirausaha,6,menumpang,pedesaan,ya,0,ya,74,tidak,ya,92,16,tidak,perempuan,65,tidak layak,0
3.49,6,teknik informatika,tidak,3524309,pedagang,3,kontrak,3t,tidak,1,ya,100,ada,ya,92,10,tidak,laki-laki,76,layak,5160155
2.86,3,hukum,ya,3277286,wirausaha,4,milik sendiri,pedesaan,tidak,1,tidak,89,tidak,tidak,64,17,tidak,perempuan,24,tidak layak,0
2.59,6,pertanian,tidak,5227345,tidak bekerja,4,menumpang,pedesaan,tidak,1,tidak,58,tidak,ya,91,15,tidak,laki-laki,91,tidak layak,0
3.48,2,sastra,ya,3189594,pegawai negeri,4,menumpang,3t,ya,1,tidak,72,ada,tidak,53,12,tidak,laki-laki,49,tidak layak,0
3.24,2,pendidikan,tidak,5846644,petani,6,menumpang,pedesaan,ya,0,ya,80,ada,tidak,78,19,ya,laki-laki,2,tidak layak,0
3.62,5,kedokteran,tidak,9707407,wirausaha,5,menumpang,pedesaan,tidak,1,ya,53,ada,tidak,90,19,tidak,laki-laki,63,tidak layak,0
3.22,1,kedokteran,tidak,5386733,karyawan swasta,1,menumpang,pedesaan,ya,1,tidak,55,tidak,ya,83,17,tidak,laki-laki,49,tidak layak,0
3.56,8,teknik informatika,tidak,6762974,pegawai negeri,6,milik sendiri,pedesaan,ya,1,tidak,90,ada,tidak,58,1,tidak,perempuan,82,layak,3468754
2.96,8,pertanian,tidak,2762450,petani,6,kontrak,3t,ya,1,tidak,70,tidak,tidak,84,15,tidak,laki-laki,36,tidak layak,0
3.58,6,teknik informatika,tidak,6068772,pegawai negeri,1,kontrak,pedesaan,ya,3,tidak,74,tidak,ya,81,15,tidak,perempuan,10,tidak layak,0
3.46,7,manajemen,tidak,3527557,buruh,3,kontrak,3t,ya,2,ya,88,tidak,ya,94,14,tidak,laki-laki,93,layak,4957481
3.01,7,sastra,tidak,1462308,petani,6,menumpang,pedesaan,ya,5,tidak,51,ada,tidak,52,4,tidak,perempuan,46,layak,5211615
3.23,1,hukum,tidak,6723751,pegawai negeri,4,milik sendiri,pedesaan,ya,3,ya,67,ada,ya,51,5,tidak,perempuan,71,tidak layak,0
3.03,2,sastra,tidak,7987220,pedagang,5,kontrak,perkotaan,tidak,1,ya,54,tidak,ya,95,14,tidak,perempuan,85,tidak layak,0
3.23,6,manajemen,tidak,5371470,pegawai negeri,2,menumpang,perkotaan,tidak,1,tidak,82,ada,ya,62,4,tidak,perempuan,3,tidak layak,0
3.23,6,pendidikan,tidak,9755099,pedagang,5,milik sendiri,3t,ya,5,tidak,83,tidak,tidak,86,2,tidak,perempuan,82,tidak layak,0
2.77,2,pertanian,tidak,9179860,pegawai negeri,2,menumpang,perkotaan,ya,1,tidak,53,ada,ya,69,5,tidak,laki-laki,44,tidak layak,0
3.22,5,manajemen,tidak,9741585,pegawai negeri,2,menumpang,pedesaan,ya,4,tidak,87,ada,ya,92,19,tidak,perempuan,72,layak,2345562
2.94,1,manajemen,ya,4940189,wirausaha,2,menumpang,pedesaan,tidak,3,tidak,84,tidak,tidak,80,7,tidak,perempuan,38,tidak layak,0
3.62,8,manajemen,tidak,3152149,karyawan swasta,4,kontrak,pedesaan,ya,1,ya,95,tidak,tidak,75,4,tidak,laki-laki,40,tidak layak,0
2.95,4,pertanian,ya,8042969,pedagang,2,milik sendiri,3t,tidak,4,tidak,60,tidak,tidak,62,5,tidak,perempuan,63,tidak layak,0
3.4,5,pertanian,ya,7097509,buruh,4,milik sendiri,pedesaan,ya,0,ya,88,tidak,tidak,84,0,tidak,perempuan,17,tidak layak,0
3.55,5,pendidikan,tidak,6639410,petani,4,milik sendiri,pedesaan,ya,4,ya,74,tidak,tidak,89,19,tidak,laki-laki,50,tidak layak,0
3.33,6,pendidikan,tidak,6633857,tidak bekerja,2,milik sendiri,perkotaan,ya,0,ya,58,tidak,tidak,83,14,tidak,laki-laki,41,tidak layak,0
2.59,1,pertanian,tidak,4317541,wirausaha,1,menumpang,pedesaan,ya,5,tidak,74,ada,ya,52,18,tidak,laki-laki,24,tidak layak,0
3.01,1,pertanian,tidak,3040594,karyawan swasta,6,milik sendiri,pedesaan,tidak,3,tidak,97,ada,ya,83,6,tidak,perempuan,67,tidak layak,0
3.11,7,pendidikan,tidak,8211874,buruh,3,menumpang,pedesaan,tidak,5,tidak,94,tidak,tidak,62,7,tidak,perempuan,28,tidak layak,0
3.95,5,sastra,tidak,8704110,pegawai negeri,4,kontrak,pedesaan,tidak,5,ya,57,tidak,tidak,72,4,tidak,perempuan,91,tidak layak,0
3.1,2,pendidikan,tidak,4802415,wirausaha,4,milik sendiri,pedesaan,ya,4,tidak,58,ada,ya,65,1,tidak,laki-laki,81,layak,3953174
2.7,1,manajemen,tidak,8425622,petani,6,milik sendiri,3t,ya,1,tidak,80,tidak,ya,98,9,tidak,laki-laki,98,tidak layak,0
3.78,2,kedokteran,tidak,1125760,pedagang,4,milik sendiri,perkotaan,ya,3,tidak,61,tidak,ya,50,9,tidak,laki-laki,42,layak,4387076
2.63,8,pertanian,tidak,2751501,tidak bekerja,5,kontrak,pedesaan,tidak,2,ya,79,tidak,ya,50,10,tidak,laki-laki,22,tidak layak,0
3.28,7,ekonomi,tidak,1955218,karyawan swasta,6,milik sendiri,3t,ya,2,tidak,50,tidak,tidak,65,14,tidak,perempuan,38,tidak layak,0
2.96,1,sastra,tidak,4464499,petani,6,milik sendiri,pedesaan,ya,5,tidak,95,tidak,ya,90,9,tidak,laki-laki,28,tidak layak,0
3.83,3,pertanian,ya,6768384,karyawan swasta,6,menumpang,perkotaan,tidak,5,tidak,98,ada,ya,83,14,tidak,perempuan,9,tidak layak,0
2.7,2,teknik informatika,tidak,8980665,pedagang,5,menumpang,3t,ya,4,tidak,93,ada,tidak,55,16,tidak,laki-laki,58,tidak layak,0
3.31,3,ekonomi,tidak,1468662,buruh,4,menumpang,perkotaan,tidak,3,ya,50,ada,ya,52,13,tidak,laki-laki,69,tidak layak,0
2.95,1,manajemen,tidak,8420040,petani,3,kontrak,3t,ya,5,tidak,91,tidak,tidak,74,14,tidak,perempuan,48,tidak layak,0
2.96,2,hukum,tidak,6334610,petani,2,menumpang,pedesaan,ya,1,tidak,98,ada,tidak,79,17,tidak,perempuan,29,tidak layak,0
2.95,1,kedokteran,tidak,7248892,karyawan swasta,2,menumpang,pedesaan,tidak,0,ya,68,ada,tidak,86,19,tidak,perempuan,30,tidak layak,0
3.71,6,ekonomi,tidak,5531294,karyawan swasta,2,menumpang,pedesaan,tidak,2,tidak,59,tidak,ya,85,13,tidak,laki-laki,49,tidak layak,0
2.96,4,sastra,tidak,1826581,karyawan swasta,3,milik sendiri,pedesaan,tidak,0,ya,93,ada,ya,62,18,tidak,laki-laki,61,tidak layak,0
3.53,6,sastra,tidak,9103633,karyawan swasta,4,milik sendiri,perkotaan,tidak,2,tidak,73,tidak,tidak,52,18,tidak,laki-laki,2,tidak layak,0
3.1,5,ekonomi,tidak,3791551,pegawai negeri,2,kontrak,pedesaan,ya,4,tidak,93,tidak,tidak,98,15,tidak,perempuan,58,tidak layak,0
3.54,3,pendidikan,ya,9669525,karyawan swasta,2,menumpang,perkotaan,tidak,4,ya,54,ada,ya,76,4,tidak,laki-laki,8,tidak layak,0
3.33,3,teknik informatika,tidak,8150572,pegawai negeri,1,menumpang,perkotaan,tidak,3,tidak,51,ada,tidak,50,0,tidak,perempuan,68,tidak layak,0
3.15,5,teknik informatika,tidak,7723819,tidak bekerja,2,milik sendiri,perkotaan,ya,1,ya,83,tidak,tidak,67,12,tidak,perempuan,58,tidak layak,0
3.68,4,kedokteran,tidak,1852527,wirausaha,6,milik sendiri,3t,ya,4,tidak,90,ada,ya,55,15,tidak,perempuan,72,layak,2799953
2.72,1,kedokteran,tidak,8477571,pegawai negeri,1,milik sendiri,perkotaan,ya,4,tidak,52,ada,tidak,51,6,tidak,perempuan,9,tidak layak,0
2.36,5,hukum,tidak,7028964,wirausaha,5,kontrak,pedesaan,tidak,5,tidak,82,tidak,ya,56,13,tidak,laki-laki,43,tidak layak,0
3.91,7,pendidikan,ya,5085666,tidak bekerja,4,kontrak,pedesaan,ya,3,tidak,93,tidak,ya,99,19,tidak,laki-laki,91,layak,2616618
2.97,7,manajemen,ya,6437696,buruh,1,menumpang,pedesaan,ya,3,ya,76,tidak,ya,96,17,tidak,laki-laki,73,tidak layak,0
3.28,4,pertanian,ya,5611313,petani,4,kontrak,perkotaan,ya,2,tidak,77,ada,tidak,70,19,tidak,laki-laki,61,layak,4635560
3.01,1,pertanian,tidak,4017316,karyawan swasta,3,menumpang,3t,tidak,3,tidak,58,tidak,ya,66,4,tidak,perempuan,9,tidak layak,0
3.32,8,pertanian,tidak,9465197,buruh,6,kontrak,pedesaan,tidak,2,tidak,84,ada,ya,99,7,tidak,perempuan,21,tidak layak,0
3.79,1,ekonomi,tidak,6063269,tidak bekerja,4,milik sendiri,3t,ya,4,tidak,85,ada,tidak,73,12,tidak,laki-laki,44,layak,2206046
2.93,8,manajemen,tidak,1940404,petani,6,milik sendiri,pedesaan,ya,1,tidak,72,tidak,ya,78,14,tidak,perempuan,5,tidak layak,0
3.18,2,teknik informatika,tidak,2334801,wirausaha,2,menumpang,pedesaan,ya,1,ya,77,tidak,ya,75,20,tidak,perempuan,50,tidak layak,0
3.51,8,pendidikan,tidak,7085795,buruh,1,kontrak,pedesaan,ya,1,tidak,95,tidak,ya,93,4,tidak,laki-laki,39,tidak layak,0
3.38,1,pendidikan,tidak,8630388,pedagang,2,kontrak,perkotaan,ya,3,tidak,81,tidak,tidak,81,5,tidak,laki-laki,97,tidak layak,0
3.23,4,sastra,ya,4272246,buruh,3,milik sendiri,perkotaan,ya,3,tidak,57,ada,tidak,99,17,tidak,perempuan,69,tidak layak,0
3.78,7,hukum,tidak,3966502,tidak bekerja,2,milik sendiri,pedesaan,ya,4,tidak,70,tidak,tidak,86,8,tidak,laki-laki,17,tidak layak,0
3.58,7,teknik informatika,tidak,2628830,wirausaha,2,milik sendiri,3t,ya,1,tidak,93,tidak,tidak,59,18,tidak,perempuan,48,layak,5791581
3.16,2,manajemen,tidak,5167852,wirausaha,3,kontrak,perkotaan,ya,0,tidak,96,ada,tidak,90,11,tidak,perempuan,27,tidak layak,0
3.59,7,kedokteran,tidak,5916778,tidak bekerja,3,kontrak,pedesaan,ya,3,tidak,93,ada,ya,56,20,tidak,perempuan,2,layak,3042176
2.35,3,pertanian,tidak,7677281,pedagang,6,milik sendiri,perkotaan,ya,2,ya,73,tidak,ya,73,20,tidak,perempuan,80,tidak layak,0
2.99,5,kedokteran,tidak,2030068,wirausaha,1,milik sendiri,pedesaan,ya,4,ya,93,tidak,ya,50,10,tidak,perempuan,88,layak,3108765
3.58,8,manajemen,tidak,1998726,wirausaha,1,milik sendiri,pedesaan,tidak,1,ya,98,ada,ya,54,16,tidak,laki-laki,56,layak,4945976
2.97,4,hukum,tidak,7921969,tidak bekerja,2,milik sendiri,perkotaan,ya,0,tidak,74,tidak,tidak,70,4,tidak,laki-laki,31,tidak layak,0
3.48,5,teknik informatika,tidak,5560836,pedagang,5,menumpang,pedesaan,tidak,2,tidak,100,ada,tidak,74,3,tidak,laki-laki,67,tidak layak,0
3.15,1,pendidikan,tidak,2714305,karyawan swasta,5,kontrak,pedesaan,tidak,3,tidak,99,ada,ya,87,2,ya,laki-laki,5,tidak layak,0
3.67,1,ekonomi,tidak,8906206,tidak bekerja,4,kontrak,perkotaan,ya,4,tidak,59,tidak,ya,69,2,tidak,laki-laki,19,tidak layak,0
3.01,6,ekonomi,tidak,1609227,pegawai negeri,6,kontrak,perkotaan,tidak,0,ya,77,ada,tidak,89,19,tidak,laki-laki,15,tidak layak,0
3.15,1,hukum,tidak,3248655,karyawan swasta,3,menumpang,pedesaan,tidak,2,ya,58,tidak,ya,99,0,tidak,perempuan,34,tidak layak,0
